Airline ID,Name,Country,Active
2,135 Airways,United States,N
3,1Time Airline,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,United Kingdom,N
5,213 Flight Unit,Russia,N
6,223 Flight Unit State Airline,Russia,N
7,224th Flight Unit,Russia,N
8,247 Jet Ltd,United Kingdom,N
9,3D Aviation,United States,N
10,40-Mile Air,United States,Y
11,4D Air,Thailand,N
12,611897 Alberta Limited,Canada,N
13,Ansett Australia,Australia,Y
14,Abacus International,Singapore,Y
15,Abelag Aviation,Belgium,N
16,Army Air Corps,United Kingdom,N
17,Aero Aviation Centre Ltd.,Canada,N
18,Aero Servicios Ejecutivos Internacionales,Mexico,N
19,Aero Biniza,Mexico,N
20,Aero Albatros,Spain,N
21,Aigle Azur,France,Y
22,Aloha Airlines,United States,Y
23,Alaska Island Air,United States,N
24,American Airlines,United States,Y
25,Aviation Management Corporation,United States,N
26,Atlantis Airlines (USA),United States,N
27,Aerovista Airlines,United Arab Emirates,N
28,Asiana Airlines,Republic of Korea,Y
29,Askari Aviation,Pakistan,Y
30,Australia Asia Airlines,Australia,N
31,Astro Air International,United States,N
32,Afriqiyah Airways,Libya,Y
33,Afrinat International Airlines,Gambia,N
34,Afric'air Express,Ivory Coast,N
35,Allegiant Air,United States,Y
36,Angus Aviation,Canada,N
37,Artem-Avia,Ukraine,N
38,African Business and Transportations,Democratic Republic of the Congo,N
39,Aban Air,Iran,n
40,Aerial Oy,Finland,N
41,Abakan-Avia,Russia,N
42,ABSA - Aerolinhas Brasileiras,Brazil,Y
43,Abaet,Brazil,N
44,Alberta Citylink,Canada,N
45,APSA Colombia,Colombia,N
46,Aerovias Bueno,Colombia,N
47,Aerocenter,AEROCENTER,N
48,Antrak Air,Ghana,N
49,Airborne Express,United States,N
50,ABX Air,United States,N
51,ATA Brasil,Brazil,N
52,Avcard Services,United Kingdom,N
53,Academy Airlines,United States,N
54,Aero Comondu,Mexico,N
55,Astral Aviation,Kenya,Y
56,Air Cess,Liberia,N
57,Air Aurora,United States,N
58,Air Cargo Transportation System,Kenya,N
59,Air Charter Service,United Kingdom,N
60,Aero Asia International,Pakistan,N
61,Air Charters,Canada,N
62,Air Togo,Togo,N
63,Air Somalia,Somali Republic,N
64,Atlas Cargo Lines,Morocco,N
65,Airservices Australia,Australia,N
66,Advance Leasing Company,United States,N
67,Aztec Worldwide Airlines,United States,N
68,Air Tindi,Canadian Territories,Y
69,Antonov Airlines,Ukraine,N
70,Air Atlantic Dominicana,Dominican Republic,N
71,Advanced Air Co.,Japan,N
72,Ada Air,Albania,Y
73,Aerea Flying Training Organization,Spain,N
74,Audeli Air,Spain,N
75,Abicar,Ivory Coast,N
76,ADC Airlines,Nigeria,N
77,Aero Dynamics,United Kingdom,N
78,Aerolineas Dominicanas,Dominican Republic,N
79,Aerodienst GmbH,Germany,N
80,Aerodiplomatic,Mexico,N
81,Aerodyne,United States,N
82,Avion Taxi,Canada,N
83,Adria Airways,Slovenia,Y
84,Aviones de Sonora,Mexico,N
85,Air Dorval,Canada,N
86,Airdeal Oy,Finland,N
87,Advance Air Charters,Canada,N
88,Air Andaman,Thailand,N
89,Anderson Aviation,United States,N
90,Air Europa,Spain,Y
91,Air Southwest Ltd.,Canada,N
92,Air Special,Czech Republic,N
93,Aero Benin,Benin,Y
94,Aerocesar,AEROCESAR,N
95,Aerotrans Airlines,Russia,N
96,Aegean Airlines,Greece,Y
97,Aerofumigaciones Sam,Chile,N
98,Aeroexpreso Interamericano,Colombia,N
99,Air Express,Tanzania,N
100,Aerocon,Bolivia,N
101,Aero Madrid,Spain,N
102,Aeroenlaces Nacionales,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,Mexico,N
104,Aerotec,Spain,N
105,Air Atlantique,United Kingdom,N
106,Air Europe,Italy,Y
107,Air Alma,Canada,N
108,Air Express,Sweden,N
109,Alaska Central Express,United States,Y
110,ACES Colombia,Colombia,Y
111,Aeronautical Radio of Thailand,Thailand,N
112,Astraeus,United Kingdom,Y
113,Aeroventas,Mexico,N
114,Aerosvit Airlines,Ukraine,Y
115,Airway Express,United States,N
116,Air Italy,Italy,Y
117,Aerial Transit Company,United States,N
118,Alfa Air,Czech Republic,N
119,American Falcon,Argentina,N
120,Alliance Airlines,Australia,Y
121,Air Universal,Sierra Leone,N
122,Auvia Air,Indonesia,N
123,African West Air,Senegal,N
124,Airfast Indonesia,Indonesia,N
125,Ariana Afghan Airlines,Afghanistan,Y
126,Air Fecteau,Canada,N
127,Africaone,Uganda,N
128,Alliance,Uganda,N
129,Africa Air Links,Sierra Leone,N
130,Aeroflot Russian Airlines,Russia,Y
131,Aero Empresa Mexicana,Mexico,N
132,Air Bosna,Bosnia and Herzegovina,Y
133,Air Bravo,Uganda,N
134,Air Brasd'or,Canada,N
135,Air 500,Canada,N
136,Alba Servizi Aerotrasporti,Italy,N
137,Air France,France,Y
138,Air Partner,United Kingdom,N
139,Air Caledonie International,France,Y
140,Air Caledonia,Canada,N
141,Air Guam,United States,N
142,Air Gabon,Gabon,N
143,Air Data,United Kingdom,N
144,Air Afrique Vacancies,Ivory Coast,N
145,Air Cargo America,United States,N
146,Air Salone,Sierra Leone,Y
147,Air-Angol,Angola,N
148,Air Nigeria,Nigeria,N
149,Air Cargo Carriers,United States,Y
