Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,44.639702,-63.499401
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499877929688,-110.27899932861328
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.2141990662,-105.672996521
142,CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072266,-77.5280990600586
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355
204,CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.98440170288086,-64.91690063476562
288,Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB,37.245398,9.79145
289,Remada Air Base,Remada,Tunisia,\N,DTTD,32.30619812011719,10.382100105285645
300,Beauvechain Air Base,Beauvechain,Belgium,\N,EBBE,50.75859832763672,4.768330097198486
301,Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,EBBL,51.168301,5.47
303,Jehonville Air Base,Bertrix,Belgium,\N,EBBX,49.891700744628906,5.223889827728272
305,Chièvres Air Base,Chievres,Belgium,\N,EBCV,50.575801849365234,3.8310000896453857
306,Koksijde Air Base,Koksijde,Belgium,\N,EBFN,51.09030151367188,2.652780055999756
307,Florennes Air Base,Florennes,Belgium,\N,EBFS,50.2433013916,4.64583015442
311,Zutendaal Air Base,Zutendaal,Belgium,\N,EBSL,50.9474983215332,5.590559959411621
312,Brustem Airfield Sint Truiden,Sint-truiden,Belgium,\N,EBST,50.791901,5.20167
313,Saint Hubert Air Base,St.-hubert,Belgium,\N,EBSU,50.034400939941406,5.440810203552246
314,Ursel Air Base,Ursel,Belgium,\N,EBUL,51.14419937133789,3.475559949874878
315,Weelde Air Base,Weelde,Belgium,\N,EBWE,51.394798278808594,4.9601898193359375
316,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,EBZR,51.264702,4.75333
317,Flugplatz Bautzen,Bautzen,Germany,\N,EDAB,51.193611,14.519722
319,Dessau Airfield,Dessau,Germany,\N,EDAD,51.831694,12.190962
320,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,\N,EDAE,52.195856,14.58753
330,Jena-Schöngleina Airfield,Jena,Germany,\N,EDBJ,50.915279,11.714444
334,Anklam Airfield,Anklam,Germany,\N,EDCA,53.832779,13.668611
365,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,\N,EDKV,50.405555725,6.5288891792
375,Biberach a.d. Riß Airfield,Biberach,Germany,\N,EDMB,48.111111,9.762778
377,Mindelheim-Mattsies Airfield,Mindelheim,Germany,\N,EDMN,48.106945,10.525
390,Koblenz-Winningen Airfield,Koblenz,Germany,\N,EDRK,50.325558,7.528611
392,Speyer Airfield,Speyer,Germany,\N,EDRY,49.304722,8.451389
411,Ämari Air Base,Armari Air Force Base,Estonia,\N,EEEI,59.26029968261719,24.208499908447266
424,Hyvinkää Airfield,Hyvinkaa,Finland,HYV,EFHV,60.6543998718,24.8810997009
461,Utti Air Base,Utti,Finland,UTI,EFUT,60.89640045166,26.938400268555
464,Ylivieska Airfield,Ylivieska-raudaskyla,Finland,YLI,EFYL,64.0547222,24.7252778
482,RAF Lyneham,Lyneham,United Kingdom,LYE,EGDL,51.5051,-1.99343
484,RNAS Culdrose,Culdrose,United Kingdom,\N,EGDR,50.08610153198242,-5.255710124969482
485,MoD St. Athan,St. Athan,United Kingdom,\N,EGDX,51.4048,-3.43575
486,RNAS Yeovilton,Yeovilton,United Kingdom,YEO,EGDY,51.0093994140625,-2.638819932937622
525,RAF Ternhill,Ternhill,United Kingdom,\N,EGOE,52.87120056152344,-2.533560037612915
526,RAF Shawbury,Shawbury,United Kingdom,\N,EGOS,52.79819869995117,-2.668040037155152
528,RAF Woodvale,Woodvale,United Kingdom,\N,EGOW,53.5816,-3.05552
543,RAF Leuchars,Leuchars,United Kingdom,ADX,EGQL,56.37289810180664,-2.8684399127960205
