Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz timezone,Type,Source
11794,Minsk Mazowiecki Military Air Base,,Poland,\N,EPMM,52.1954994202,21.6558990479,604,\N,\N,\N,airport,OurAirports
11795,Powidz Military Air Base,,Poland,\N,EPPW,52.379398,17.853901,371,\N,\N,\N,airport,OurAirports
11900,King Salman Abdulaziz Airport,,Saudi Arabia,DWD,OEDM,24.4499,44.121201,3026,\N,\N,\N,airport,OurAirports
11901,King Khaled Air Base,,Saudi Arabia,KMX,OEKM,18.29730033874512,42.80350112915039,6778,\N,\N,\N,airport,OurAirports
11921,Asahikawa Airfield,,Japan,\N,RJCA,43.794734,142.365432,377,\N,\N,\N,airport,OurAirports
11923,Utsunomiya Airport,,Japan,\N,RJTU,36.5145,139.87101,334,\N,\N,\N,airport,OurAirports
11924,Jungwon Air Base/Chungju Airport,,South Korea,\N,RKTI,37.03024,127.886353,281,\N,\N,\N,airport,OurAirports
11927,Bislig Airport,,Philippines,BPH,RPMF,8.19594955444336,126.3219985961914,12,\N,\N,\N,airport,OurAirports
11928,Mati National Airport,,Philippines,MXI,RPMQ,6.949091,126.27368,156,\N,\N,\N,airport,OurAirports
11947,Metropolitano Airport,,Venezuela,\N,SVMP,10.133169174194336,-66.78782653808594,574,\N,\N,\N,airport,OurAirports
11954,Belaya Gora Airport,,Russia,BGN,UESG,68.556602,146.231506,118,\N,\N,\N,airport,OurAirports
11984,Volgodonsk Airport,,Russia,VLK,URRY,47.68209838867188,42.07279968261719,276,\N,\N,\N,airport,OurAirports
11996,Ratnagiri Airport,,India,RTC,VARG,17.013599,73.327797,305,\N,\N,\N,airport,OurAirports
11999,Ambala Air Force Station,,India,\N,VIAM,30.368099212646484,76.81670379638672,909,\N,\N,\N,airport,OurAirports
12000,Sirsa Air Force Station,,India,\N,VISA,29.56060028076172,75.006103515625,650,\N,\N,\N,airport,OurAirports
12001,Udhampur Air Force Station,,India,\N,VIUX,32.902198791503906,75.15619659423828,2066,\N,\N,\N,airport,OurAirports
