Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.2141990662,-105.672996521
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355
317,Flugplatz Bautzen,Bautzen,Germany,\N,EDAB,51.193611,14.519722
365,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,\N,EDKV,50.405555725,6.5288891792
484,RNAS Culdrose,Culdrose,United Kingdom,\N,EGDR,50.08610153198242,-5.255710124969482
485,MoD St. Athan,St. Athan,United Kingdom,\N,EGDX,51.4048,-3.43575
486,RNAS Yeovilton,Yeovilton,United Kingdom,YEO,EGDY,51.0093994140625,-2.638819932937622
626,Vesthimmerlands Flyveplads,Vesthimmerland,Denmark,\N,EKVH,56.846901,9.45861
644,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.121,11.0502
766,Flugplatz Kitzingen,Kitzingen,Germany,KZG,ETIN,49.743099,10.2006
788,Neuburg AFB,Neuburg,Germany,\N,ETSN,48.710999,11.2115
1372,Abbeville,Abbeville,France,XAB,LFOI,50.143501,1.831891
1620,Braga Municipal Aerodrome,Braga,Portugal,BGZ,LPBR,41.5871009827,-8.445139884949999
1621,Aerodromo Municipal de Coimbra,Coimba,Portugal,\N,LPCO,40.158758,-8.470815
1778,Boscobel Aerodrome,Ocho Rios,Jamaica,OCJ,MKBS,18.404199600219727,-76.96900177001953
1907,Leeward Point Field,Guantanamo,Cuba,NBW,MUGM,19.906499862671,-75.207099914551
2016,Hastings Aerodrome,Hastings,New Zealand,\N,NZHS,-39.646702,176.766998
2038,Williams Field,Weydon,Antarctica,\N,NZWD,-77.86740112304688,167.0570068359375
2175,King Hussein Air College,Mafraq,Jordan,OMF,OJMF,32.3564,36.259201
2253,Henderson Field,Midway,Midway Islands,MDY,PMDY,28.20170021057129,-177.38099670410156
2442,Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,-34.5592,-58.4156
2765,Capitán Av. Salvador Ogaya G. airport,Puerto Suarez,Bolivia,PSZ,SLPS,-18.975301,-57.820599
2826,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",Ciudad Bolivar,Venezuela,CBL,SVCB,8.12216091156,-63.5369567871
2881,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,PTP,TFFR,16.265301,-61.531799
3425,Laurence G Hanscom Field,Bedford,United States,BED,KBED,42.47000122,-71.28900146
3438,Merrill Field,Anchorage,United States,MRI,PAMR,61.2135009765625,-149.843994140625
3446,Ernest A. Love Field,Prescott,United States,PRC,KPRC,34.65449905,-112.4199982
3459,Dane County Regional Truax Field,Madison,United States,MSN,KMSN,43.13990020751953,-89.3375015258789
3481,Pope Field,Fort Bragg,United States,POB,KPOB,35.1708984375,-79.014503479004
3495,Boise Air Terminal/Gowen Field,Boise,United States,BOI,KBOI,43.5644,-116.223
3502,Dallas Love Field,Dallas,United States,DAL,KDAL,32.847099,-96.851799
3507,Hurlburt Field,Mary Esther,United States,\N,KHRT,30.42779922485352,-86.68930053710938
3546,Massena International Richards Field,Massena,United States,MSS,KMSS,44.93579864501953,-74.84559631347656
3549,Page Field,Fort Myers,United States,FMY,KFMY,26.58659935,-81.86329650879999
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.43360138,-119.0569992
3578,Lovell Field,Chattanooga,United States,CHA,KCHA,35.035301208496094,-85.20379638671875
3597,Cavern City Air Terminal,Carlsbad,United States,CNM,KCNM,32.337501525878906,-104.26300048828124
3600,Bowman Field,Louisville,United States,LOU,KLOU,38.2280006409,-85.6636962891
3616,Scappoose Industrial Airpark,San Luis,United States,\N,KSPB,45.77099990844727,-122.86199951171876
3631,Coulter Field,Bryan,United States,CFD,KCFD,30.7157001495,-96.3313980103
3656,Cherry Point MCAS /Cunningham Field/,Cherry Point,United States,\N,KNKT,34.90090179,-76.88069916
3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.36989974975586,-81.9645004272461
3665,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,TBN,KTBN,37.74160004,-92.14070129
3696,South Arkansas Regional At Goodwin Field,El Dorado,United States,ELD,KELD,33.22100067138672,-92.81330108642578
3708,San Angelo Regional Mathis Field,San Angelo,United States,SJT,KSJT,31.35770034790039,-100.49600219726562
3715,Easterwood Field,College Station,United States,CLL,KCLL,30.58860016,-96.36380005
3716,Felts Field,Spokane,United States,SFF,KSFF,47.682800292969,-117.32299804688
3753,Sioux Gateway Col. Bud Day Field,Sioux City,United States,SUX,KSUX,42.40259933,-96.38439941
3760,Drake Field,Fayetteville,United States,FYV,KFYV,36.00510025024414,-94.17009735107422
3768,New Orleans NAS JRB/Alvin Callender Field,New Orleans,United States,NBG,KNBG,29.82530022,-90.03500366
3770,Texarkana Regional Webb Field,Texarkana,United States,TXK,KTXK,33.45370101928711,-93.99099731445312
3779,Elkins-Randolph Co-Jennings Randolph Field,Elkins,United States,EKN,KEKN,38.88940048,-79.85710144
3804,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,CYS,KCYS,41.15570068,-104.8119965
3816,Modesto City Co-Harry Sham Field,Modesto,United States,MOD,KMOD,37.62580109,-120.9540024
3827,Norfolk Naval Station (Chambers Field),Norfolk,United States,NGU,KNGU,36.937599,-76.289299
3833,Quantico MCAF /Turner field,Quantico,United States,\N,KNYG,38.50170135,-77.30529785
3865,Valdez Pioneer Field,Valdez,United States,VDZ,PAVD,61.13389969,-146.2480011
3874,Craig Field,Selma,United States,SEM,KSEM,32.343898773193,-86.987800598145
4014,Louisville International Standiford Field,Louisville,United States,SDF,KSDF,38.1744,-85.736
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.040199,-106.609001
4020,Gallatin Field,Bozeman,United States,BZN,KBZN,45.77750015,-111.1529999
4099,Mahlon Sweet Field,Eugene,United States,EUG,KEUG,44.12459945678711,-123.21199798583984
4103,Roberts Field,Redmond-Bend,United States,RDM,KRDM,44.2541008,-121.1500015
4104,Picton Aerodrome,Picton,New Zealand,PCN,NZPN,-41.346099853516,173.95599365234
4113,Huntsville International Carl T Jones Field,Huntsville,United States,HSV,KHSV,34.637199401855,-86.775100708008
4129,Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM,KBGM,42.20869827,-75.97979736
4276,Erie International Tom Ridge Field,Erie,United States,ERI,KERI,42.0831270134,-80.1738667488
4278,Barnstable Municipal Boardman Polando Field,Barnstable,United States,HYA,KHYA,41.66930008,-70.28040314
4284,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,United States,MGW,KMGW,39.64289856,-79.91629791
4335,Key Field,Meridian,United States,MEI,KMEI,32.33259963989258,-88.75189971923828
4383,Smith Field,Fort Wayne IN,United States,SMD,KSMD,41.14339828,-85.15280151
5456,Whistler/Green Lake Water Aerodrome,Whistler,Canada,YWS,CAE5,50.1436004639,-122.948997498
5500,Vancouver Harbour Water Aerodrome,Vancouver,Canada,CXH,CYHC,49.2943992615,-123.111000061
5738,Fayetteville Regional Grannis Field,Fayetteville,United States,FAY,KFAY,34.9911994934082,-78.88030242919922
