Airline (IATA or ICAO),Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Codeshare,Stops,Equipment
5T,1623,YRT,132,YEK,50,,1,ATR
AC,330,ABJ,253,BRU,302,,1,333
AC,330,YVR,156,YBL,30,,1,BEH
CU,1936,FCO,1555,HAV,1909,,1,767
FL,1316,HOU,3566,SAT,3621,,1,735
FL,1316,MCO,3878,HOU,3566,,1,73W
FL,1316,MCO,3878,ORF,3611,,1,717
SK,4319,ARN,737,GEV,715,,1,ATP
WN,4547,BOS,3448,MCO,3878,,1,73W
WN,4547,MCO,3878,BOS,3448,,1,73W
WN,4547,MCO,3878,CAK,4112,,1,73C 73W
